kategorie,betrag_chf,periode,datentyp
50: Konsumausgaben,4948.52981023577,2022,Gesamt
51: Nahrungsmittel und alkoholfreie Getränke,629.206291823259,2022,Gesamt
511: Nahrungsmittel,577.607757850811,2022,Gesamt
5111: Brot und Getreideprodukte,99.1902040128078,2022,Gesamt
5111.01: Reis,2.62545468643991,2022,Gesamt
5111.02: Teigwaren,9.31733104264363,2022,Gesamt
5111.03: Brot,22.9681012666203,2022,Gesamt
"5111.04: Gebäck, süsses und salziges",45.4227768943906,2022,Gesamt
5111.05: Sandwich,5.49563793436146,2022,Gesamt
5111.06: Weizenmehl,2.31431321642989,2022,Gesamt
"5111.07: Übrige Mehle, Stärken, Griesse, Flocken und Getreidekörner",1.84565117519292,2022,Gesamt
5111.08: Andere Produkte auf Getreidebasis,9.20093779672909,2022,Gesamt
5112: Fleisch,121.129659074157,2022,Gesamt
5112.01: Rindfleisch,22.8779391507349,2022,Gesamt
5112.02: Kalbfleisch,4.52919822229662,2022,Gesamt
"5112.03: Schweinefleisch, frisch oder tiefgekühlt",12.7537941145672,2022,Gesamt
5112.05: Schaf- und Ziegenfleisch,3.80633146667667,2022,Gesamt
"5112.06: Geflügel, frisch oder tiefgekühlt",21.4356973685486,2022,Gesamt
5112.07: Wild und Kaninchenfleisch,1.08567373373595,2022,Gesamt
"5112.08: Andere geniessbare Fleischwaren inkl. Innereien, frisch und tiefgekühlt",8.49273011837442,2022,Gesamt
"5112.09: Würste, Wurstwaren und Pasteten",24.0610967823388,2022,Gesamt
"5112.10: Schinken, Speck und übriges gesalzenes oder geräuchertes Schweinefleisch",15.2567790147513,2022,Gesamt
"5112.11: Geflügel, grilliert oder geräuchert",0.797282022356498,2022,Gesamt
"5112.12: Übriges gekochtes, getrocknetes, gesalzenes oder geräuchertes Fleisch",4.75872253371746,2022,Gesamt
5112.13: Fleischkonserven und fleischhaltige Erzeugnisse,0.845030044153783,2022,Gesamt
5113: Fisch,22.4712031821419,2022,Gesamt
"5113.01: Fisch, frisch oder tiefgekühlt",11.9416006101791,2022,Gesamt
"5113.02: Meeresfrüchte, frisch oder tiefgekühlt",3.19035155743374,2022,Gesamt
"5113.03: Fische und Meeresfrüchte, getrocknet, gesalzen oder geräuchert",3.46752965960704,2022,Gesamt
"5113.04: Fische und Meeresfrüchte, zubereitet und tiefgekühlt",1.40186335661774,2022,Gesamt
5113.05: Fisch- und andere Konserven auf Basis von Fisch oder Meeresfrüchten,2.46985799830433,2022,Gesamt
"5114: Milch, Käse und Eier",93.9668088180723,2022,Gesamt
5114.01: Vollmilch,7.28248833724242,2022,Gesamt
5114.02: Milchdrink und Magermilch,4.6048333466292,2022,Gesamt
5114.03: Hart- und Halbhartkäse,29.5143424439353,2022,Gesamt
"5114.04: Weich-, Frisch- und Schmelzkäse",14.9845149102428,2022,Gesamt
5114.05: Rahm,6.33770026910298,2022,Gesamt
5114.06: Quark,1.97989154615636,2022,Gesamt
